country,IATA,ICAO,city,name,latitude,longitude,timezone,city_en,name_en
SA,EJH,OEWJ,Wejh,Al Wajh Domestic,26.1986,36.476398,Asia/Riyadh,,
SA,ELQ,OEGS,Gassim,Gassim,26.302799,43.774398,Asia/Riyadh,,
SA,GIZ,OEGN,Gizan,Jizan Regional,16.9011,42.5858,Asia/Riyadh,,
SA,HAS,OEHL,Hail,Ha'il,27.437901,41.686298,Asia/Riyadh,,
SA,HOF,OEAH,Al-ahsa,Al Ahsa,25.285299,49.485198,Asia/Riyadh,,
SA,JED,OEJN,吉达,King Abdulaziz,21.67956,39.156528,Asia/Riyadh,Jeddah,Jeddah King Abdulaziz
SA,KMC,OEKK,King Khalid Mil.city,King Khaled Military City,27.9009,45.528198,Asia/Riyadh,,
SA,MED,OEMA,Madinah,Prince Mohammad Bin Abdulaziz,24.5534,39.705101,Asia/Riyadh,,
SA,QJB,OEJB,Jubail,Jubail,27.038999,49.405101,Asia/Riyadh,,
SA,RAE,OERR,Arar,Arar Domestic,30.9066,41.138198,Asia/Riyadh,,
SA,RAH,OERF,Rafha,Rafha Domestic,29.626399,43.4906,Asia/Riyadh,,
SA,RUH,OERK,利雅得,King Khaled,24.95764,46.698769,Asia/Riyadh,Riyadh,Riyadh King Khalid
SA,SHW,OESH,Sharurah,Sharurah,17.466899,47.121398,Asia/Riyadh,,
SA,SLF,OESL,Sulayel,Sulayel,20.4647,45.619598,Asia/Riyadh,,
SA,TIF,OETF,Taif,Ta'if Regional,21.483001,40.543442,Asia/Riyadh,,
SA,TUI,OETR,Turaif,Turaif Domestic,31.692188,38.731544,Asia/Riyadh,,
SA,TUU,OETB,Tabuk,Tabuk,28.3654,36.6189,Asia/Riyadh,,
SA,URY,OEGT,Guriat,Gurayat Domestic,31.412413,37.278898,Asia/Riyadh,,
SA,WAE,OEWD,Wadi-al-dawasir,Wadi Al Dawasir,20.504299,45.1996,Asia/Riyadh,,
