country,ICAO,IATA,city,city_en,name,name_en,latitude,longitude,timezone
CN,ZUGU,GYS,广元,Guangyuan,广元盘龙机场,Guangyuan Panlong,32.389999,105.693336,Asia/Shanghai
CN,ZUGY,KWE,贵阳,Guiyang,贵阳龙洞堡国际机场,Guiyang Longdongbao,26.538521,106.800697,Asia/Shanghai
CN,ZUGZ,GZG,甘孜,Garze (Ganzi),甘孜格萨尔机场,Garze (Ganzi) Gesar Airport,31.75500,99.55361,Asia/Shanghai
CN,ZUHY,AHJ,红原,Hongyuan,阿坝红原机场,Hongyuan,32.527401,102.357399,Asia/Shanghai
CN,ZUJZ,JZH,九寨沟,Songpan,九寨黄龙机场,Songpan Jiuzhai Huanglong,32.856667,103.68306,Asia/Shanghai
CN,ZUKD,KGT,康定,Kangding,甘孜康定机场,Kangding,30.13176,101.747536,Asia/Shanghai
CN,ZUKJ,KJH,黔东南,Kaili,凯里黄平机场,Kaili Huangping,26.974167,107.980553,Asia/Shanghai
CN,ZULB,LLB,荔波,Libo,荔波机场,Libo,25.452499,107.96167,Asia/Shanghai
CN,ZULS,LXA,拉萨,Lhasa,拉萨贡嘎机场,Lhasa Gonggar,29.29777,90.911942,Asia/Shanghai
CN,ZULZ,LZO,泸州,Luzhou,泸州云龙机场,Luzhou Yunlong,29.030001,105.470001,Asia/Shanghai
CN,ZUMT,WMT,遵义,Zunyi,遵义茅台机场,Zunyi Maotai,27.81638,106.33268,Asia/Shanghai
CN,ZUMY,MIG,绵阳,Mianyang,绵阳南郊机场,Mianyang Nanjiao,31.43111,104.738052,Asia/Shanghai
CN,ZUNC,NAO,南充,Nanchong,南充高坪机场,Nanchong Gaoping,30.754,106.061996,Asia/Shanghai
CN,ZUNP,HZH,黎平,Liping,黎平机场,Liping,26.320213,109.153809,Asia/Shanghai
CN,ZUNZ,LZY,林芝,Nyingchi,林芝米林机场,Nyingchi Mainling,29.309076,94.335884,Asia/Shanghai
CN,ZUPS,LPF,六盘水,Liupanshui,六盘水月照机场,Liupanshui Yuezhao,26.609417,104.978996,Asia/Shanghai
CN,ZUQJ,JIQ,重庆,Qianjiang,黔江武陵山机场,Qianjiang Wulingshan,29.5175,108.82917,Asia/Shanghai
CN,ZURK,RKZ,日喀则,Shigatse,日喀则和平机场,Heping (Peace),29.351944,89.309998,Asia/Shanghai
CN,ZUTC,TCZ,腾冲,Tengchong,腾冲驼峰机场,Tengchong Tuofeng,24.939379,98.482025,Asia/Shanghai
CN,ZUTR,TEN,铜仁,Tongren,铜仁凤凰机场,Tongren Fenghuang,27.883333,109.308891,Asia/Shanghai
CN,ZUUU,CTU,成都,Chengdu,成都双流国际机场,Chengdu Shuangliu,30.57852,103.946999,Asia/Shanghai
CN,ZUWS,WSK,重庆,Chongqing,重庆巫山机场,Chongqing Wushan,31.06889,109.709167,Asia/Shanghai
CN,ZUWX,WXN,重庆,Wanzhou,万州五桥机场,Wanzhou Wuqiao,30.799679,108.426949,Asia/Shanghai
CN,ZUXC,XIC,凉山,Xichang,西昌青山机场,Xichang Qingshan,27.98908,102.184303,Asia/Shanghai
CN,ZUYB,YBP,宜宾,Yibin,宜宾五粮液机场,Yibin Caiba,28.797659,104.543953,Asia/Shanghai
CN,ZUYI,ACX,黔西南,Xingyi,兴义万峰林机场,Xingyi Wanfenglin,25.08639,104.959442,Asia/Shanghai
CN,ZUZH,PZI,攀枝花,Panzhihua,攀枝花保安营机场,Bao'anying,26.542315,101.798515,Asia/Shanghai
CN,ZUZY,ZYI,遵义,Zunyi,遵义新舟机场,Zunyi Xinzhou,27.59,106.999725,Asia/Shanghai
CN,ZWAK,AKU,阿克苏,Aksu,阿克苏温宿机场,Aksu,41.262501,80.291664,Asia/Shanghai
CN,ZWAT,AAT,阿勒泰,Altay,阿勒泰机场,Altay,47.750362,88.084442,Asia/Shanghai
CN,ZWBL,BPL,博乐,Bole,博乐阿拉山口机场,Bole Alashankou,44.895,82.299721,Asia/Shanghai
CN,ZWCM,IQM,且末,,且末玉都机场,,38.233055,85.469722,Asia/Shanghai
CN,ZWFY,FYN,富蕴,,富蕴可可托海机场,,46.808611,89.5175,Asia/Shanghai
CN,ZWHM,HMI,哈密,Hami City,哈密机场,Hami,42.842499,93.669441,Asia/Shanghai
CN,ZWHZ,SHF,石河子,Shihezi,石河子花园机场,Huayuan,44.24167,85.89111,Asia/Shanghai
CN,ZWKC,KCA,库车,Kuqa,库车龟兹机场,Kuqa Qiuci,41.718056,82.986946,Asia/Shanghai
CN,ZWKL,KRL,库尔勒,Korla,库尔勒机场,Korla,41.689999,86.120003,Asia/Shanghai
CN,ZWKM,KRY,克拉玛依,Karamay,克拉玛依机场,Karamay,45.466389,84.952499,Asia/Shanghai
CN,ZWKN,KJI,布尔津,,布尔津喀纳斯机场,,48.224444,87.005833,Asia/Shanghai
CN,ZWNL,NLT,新源,,新源那拉提机场,,43.430277,83.379166,Asia/Shanghai
CN,ZWRQ,RQA,若羌,Ruoqiang,若羌楼兰机场,Loulan,38.974722,88.008333,Asia/Shanghai
CN,ZWSC,QSZ,莎车,Shache,莎车叶尔羌机场,Shache Yeerqiang,38.244999,77.059998,Asia/Shanghai
CN,ZWSH,KHG,喀什,Kashgar,喀什机场,Kashgar,39.542919,76.019951,Asia/Shanghai
CN,ZWTC,TCG,塔城,,塔城机场,,46.671111,83.342777,Asia/Shanghai
CN,ZWTN,HTN,和田,Hotan,和田机场,Hotan,37.038521,79.864929,Asia/Shanghai
